REGIMEN_LABORAL;CARGO;REMUNERACION MENSUAL;BENEFICIOS;female;male
3;4;5297;0;0;1
3;3;3082;0;1;0
3;4;4390;0;1;0
3;4;5297;0;1;0
3;4;6409;93;0;1
3;4;5297;93;0;1
3;4;5297;0;1;0
3;4;5297;0;0;1
3;4;4390;0;1;0
3;4;6409;0;1;0
3;4;6409;93;0;1
3;5;5297;0;1;0
3;4;4390;0;1;0
3;3;3082;93;0;1
3;5;2598;0;1;0
3;4;5297;0;1;0
3;4;11621;0;0;1
3;3;3082;0;1;0
3;4;4390;0;1;0
3;4;5297;0;1;0
3;3;2227;93;1;0
3;1;7789;93;0;1
3;3;6409;3183;0;1
3;3;6409;0;1;0
3;1;14500;93;1;0
3;4;5297;93;1;0
3;2;4061.03;93;1;0
3;1;7789;0;0;1
3;4;9499;93;0;1
3;4;5297;93;0;1
3;5;2598;93;1;0
3;3;3082;313;0;1
3;4;5297;0;0;1
3;4;5297;0;0;1
3;4;3082;0;0;1
3;1;7789;93;0;1
3;4;5297;0;0;1
3;3;2598;0;0;1
3;4;6409;93;0;1
3;4;5297;0;1;0
3;1;11621;0;0;1
3;3;3669;0;1;0
3;4;11621;0;0;1
3;4;14237;0;1;0
3;3;2423;0;0;1
3;4;5297;0;0;1
3;5;5297;0;1;0
3;4;14237;0;0;1
3;4;7789;93;0;1
3;3;3082;0;0;1
3;4;4390;0;0;1
3;4;3669;93;0;1
3;4;6409;0;1;0
3;4;2648.5;0;0;1
3;4;7789;0;1;0
3;4;7789;0;1;0
3;6;3669;0;0;1
3;5;2598;0;1;0
3;4;6409;0;1;0
3;1;7789;0;0;1
3;4;5297;0;0;1
3;4;3082;0;1;0
3;4;6409;3090;0;1
3;3;3082;0;0;1
3;5;3669;0;0;1
3;4;7789;0;0;1
3;4;2648.5;0;0;1
3;5;2598;0;1;0
3;1;7789;0;1;0
3;3;3082;93;0;1
3;5;4390;0;0;1
3;1;15196;93;0;1
3;1;7789;0;1;0
3;4;5297;0;1;0
3;5;2598;0;1;0
3;2;10458.9;0;1;0
3;2;11621;93;0;1
3;4;7789;93;0;1
3;5;2598;93;1;0
3;1;7789;93;0;1
3;5;2598;0;0;1
3;3;2227;0;1;0
3;2;4390;0;1;0
3;4;9499;93;1;0
3;4;5297;0;1;0
3;1;7789;93;0;1
3;3;3082;0;1;0
3;4;3082;93;1;0
3;3;3669;0;0;1
3;4;14500;93;1;0
3;5;4390;93;1;0
3;2;14237;0;0;1
3;4;4390;0;1;0
3;1;15196;0;0;1
3;4;7789;93;0;1
3;4;7789;93;0;1
3;4;3669;93;0;1
3;5;2598;0;0;1
3;1;9499;0;0;1
3;4;5297;0;0;1
3;3;2598;0;0;1
3;5;3669;0;0;1
3;4;4097.33;93;0;1
3;4;14500;0;0;1
3;5;2598;0;0;1
3;4;5297;0;0;1
3;4;6409;0;0;1
3;3;3082;0;0;1
3;4;7789;0;0;1
3;4;5297;93;1;0
3;4;3669;0;1;0
3;4;11621;93;0;1
3;5;4390;93;1;0
3;4;5297;0;1;0
3;4;5297;93;0;1
3;4;4390;0;1;0
3;4;5297;0;0;1
3;5;6409;0;1;0
3;4;4051;0;1;0
3;4;3669;0;1;0
3;1;7789;0;1;0
3;2;10071.53;0;0;1
3;4;6409;0;0;1
3;4;5297;0;0;1
3;4;2648.5;0;1;0
3;5;6409;0;1;0
3;4;3804.67;0;1;0
3;5;6409;0;1;0
3;4;6409;0;1;0
3;4;5297;0;0;1
3;4;4390;0;1;0
3;1;9499;93;0;1
3;3;7789;0;1;0
3;1;9499;0;1;0
3;4;5297;0;0;1
3;4;7789;93;1;0
3;3;2598;0;1;0
3;4;5297;0;0;1
3;6;3669;93;0;1
3;3;3546.7;0;0;1
3;4;3082;0;0;1
3;4;9499;0;1;0
3;4;4390;0;0;1
3;5;2598;0;0;1
3;4;6409;0;1;0
3;4;13762.43;0;1;0
3;4;4390;0;1;0
3;4;4390;93;0;1
3;3;3082;0;1;0
3;4;14237;0;0;1
3;4;4390;0;1;0
3;4;5297;0;1;0
3;2;9499;0;1;0
3;4;6409;0;1;0
3;2;14500;0;0;1
3;2;11621;0;0;1
3;1;9499;0;0;1
3;1;9499;0;0;1
3;1;9499;93;0;1
3;5;5297;0;1;0
3;5;5297;0;1;0
3;1;7789;93;0;1
3;4;2648.5;0;1;0
3;4;3669;0;1;0
3;1;9499;0;1;0
3;4;6409;0;0;1
3;4;9499;0;1;0
3;1;9499;0;0;1
3;4;11621;0;1;0
3;5;6409;0;0;1
3;4;5120.43;0;0;1
3;4;14237;0;1;0
3;3;6409;0;1;0
3;4;5297;93;0;1
3;5;4390;0;1;0
3;1;7789;0;1;0
3;4;9499;0;1;0
3;4;7789;93;0;1
3;4;6409;372;1;0
3;4;4390;0;0;1
3;4;14237;0;1;0
3;3;5297;0;0;1
3;4;9499;0;0;1
3;4;4390;0;0;1
3;5;7789;0;1;0
3;4;4767.3;93;0;1
3;4;5297;0;0;1
